"","X","tweet","annotation"
"6680",6680,"@ThunderCounty if both of these are “no” then accepting bets on whether or not broadcast will have to bleep out the… https://t.co/aJOVWPTMKh",0
"6686",6686,"@JoeLmint @BarDown @TSN_Sports Dwight?",0
"6689",6689,"@Laura_Kate1115 Why are coughing people out wandering in a pandemic? It may very well be a cold but the messaging o… https://t.co/cabgs7GzdC",0
"6692",6692,"Sounds like an angel!!♥️ So beautiful! I almost get chills listening to this rendition! https://t.co/icIP3fD8T3",0
"6694",6694,"Did you guys know that Jebus was croopusfied so we could play the sims??? ✝️",0
"6697",6697,"Happy #MothersDayWeekend. It will begin with a luxurious 5:45am wake up; followed by cleaning dog vomit off the cou… https://t.co/w1mrDOOlIL",0
"6698",6698,"@PrairieTrusz Thanks for this; Sarah! I had been feverishly refreshing all morning to get my two kids in and stoppe… https://t.co/oTM9t78N2H",0
"6702",6702,"I’m finally coming out of this covid shit! I haven’t coughed in a few hours and it is glorious!",1
"6703",6703,"@dlmc_z @qwnofeverything @SavannahhForge Omg....those refurbished ones are just plain nasty...",0
"6705",6705,"why have I taken three extra strength advil today and still have a headache",1
"6706",6706,"RT @GreaterAngliaPR: The new trains are greener too: powered by electricity; 40% lighter than previous trains & feature regenerative brakin…",0
"6707",6707,"RT @GreaterAngliaPR: Greater Anglia has now started testing the first of its brand-new electric commuter trains which will provide thousand…",0
"6712",6712,"@arestocracy I have limited info on this but to clarify, I think the 13 sick were exhibiting colds/coughs...not confirmed covid-19...but still WTH?",0
"6717",6717,"RT @MarkFriesen08: Does building internment camps across our country seem the least bit reasonable for a virus that has  over 99% recovery…",0
"6718",6718,"@IrishinSocal @battlefeverson @RangersFC As a Gers fan who doesnt subscribe to racism or bigotry; off you pop there… https://t.co/GPCFtPsXmH",0
"6721",6721,"@DrLindseyFitz With ME/CFS (myalgic encephalomyelitis/chronic fatigue syndrome) many people in the UK are recommend… https://t.co/NG507PAg4u",0
"6723",6723,"@pmlbristol Bottom line
- Take it before going to bed
- 1-1.5 hours before, take something for nausea (ex Zofran)
- Plan for a less strenuous day the next day
- Have protein shakes, soups ready for recovery day
- Contact Dr if side effects are too much. Trust what your body is telling you.",0
"6727",6727,"@CraigKoban I’m a huge fan of franchises. I co host a podcast called @FanchiseFatigue where all we talk about is film franchises. 2/2",0
"6728",6728,"Her phone is back on and she was just having a bad headache last night. https://t.co/6nBHkZBhtZ",0
"6732",6732,"RT @jon_bergen1: @PAPOLICEca continue to respond to the many needs of @cityof_pa during the COVID-19 pandemic that has fatigued us all. @pa…",0
"6733",6733,"@PAPOLICEca continue to respond to the many needs of @cityof_pa during the COVID-19 pandemic that has fatigued us all. @papassoc provide unwavering and fearless service with dedication while faced with regular situations of active virus. On behalf of PAPS, THANK YOU &amp; STAY SAFE! https://t.co/X9YNfMuYT5",0
"6734",6734,"@blambot You hopefully will find that angle very helpful. I noticed when I adjusted my angle on my table I felt less fatigue.",0
"6735",6735,"RT @iknowhannah: chills for this morning 😍",0
"6736",6736,"**IMPORTANT UPDATE** NO FANS ARE PERMITTED AT TONIGHTS GAME; IT CAN BE COUGHT ON @LiveBarn",0
"6737",6737,"@flippantflaneur Forward thinking   *cough/s*",0
"6742",6742,"@Eddie_Steele97 @nwebster89 @6BONECRUSHER3 @BGrant84 Haha. Exactly. Buddy must have a fever. Put the Twitter machin… https://t.co/ctDBqpUPW5",0
"6743",6743,"@LuBellWoo I have a life long poor sense of smell. Nose *does* work but it got to be something strong before I smell it. 
Strange thing is my nose has lately been working fine. What does this means in COVID terms. Does better sense of smell mean that I'm protected? No need to worry?",0
"6744",6744,"@jeremydehner @2020CabinFever @mcfunny @CA_Marino1 @TakeThatEpi @realmanofgenius @R3DST8Gh0ST @WendyOrent… https://t.co/KxvttcWN9W",0
"6746",6746,"@2020CabinFever @jeremydehner @mcfunny @CA_Marino1 @TakeThatEpi @realmanofgenius @R3DST8Gh0ST @WendyOrent… https://t.co/EBTgYjKbv4",0
"6751",6751,"@Elyrayldin My headache got worse and I want to go to bed … 🥴",0
"6753",6753,"Just over 24 hours ago I had my 2nd vaccine and of course I'm having the vaccine symptoms. Fever; headache; achy bo… https://t.co/vqEtF90Foc",0
"6755",6755,"@Logic_Triumphs @FeverResists They were too busy with the Red Scare.",0
"6758",6758,"i got chills and then i shed a tear https://t.co/Lp3sPXwCj6",0
"6759",6759,"@cafreeland That there is some astounding arrogance and hypocrisy. Nauseating; actually.🤢🤢🤢🤮🤮🤮🤮",0
"6764",6764,"Mock orange time is here. Too bad you can’t smell them through the internet 😊 https://t.co/bPG2wEVzy2",0
"6769",6769,"@kerricoombs @LeahArcand ""Alleged"" Wet'suwet'en supporters. Do your research before vomitting falsehoods in to the twitterverse. The Wet'suwet'en reject these illegal demonstrations and vigilantism.",0
"6771",6771,"God I’m so terrified and anxious about Fes Eli to the point where I feel like I’m gonna throw up bc of anxiety",0
"6772",6772,"@La_Bete_humaine Both of these images make me want to vomit.",0
"6774",6774,"@NegotiationPod Thanks for the RT. What do you do to prevent eye fatigue while working?",0
"6778",6778,"@sepinwall I’m sure it was worth the headaches.",0
"6779",6779,"@AlexpiersonAMP Maybe Quebec is going to have to cough up some cash instead of being the welfare province of Canada",0
"6780",6780,"RT @greateranglia: 18:41 London Liverpool Street to Hertford East (19:15 Broxbourne) will be formed of 4 coaches instead of 8.",0
"6783",6783,"@marsupialpuddng Pics? That sounds beautiful.  (Not the vomit; just the couch 😅)",0
"6785",6785,"RT @pyzyke: Splatoon... But Awesome! https://t.co/Ox0SYf5bb7",0
"6786",6786,"RT @navahochick56: HR McMaster to publish book that may pose headaches for Trump https://t.co/PX3ZEzV27K",0
"6788",6788,"Laying down for a 15 minute nap only to wake up an hour later with a headache and three missed calls from your grandparents",0
"6791",6791,"RT @GlobalSaskatoon: WATCH: Damage in and around the hamlet of Brancespeth is severe and caused by what some locals believe was a tornado -…",0
"6794",6794,"@WhiteClaw the shit Bout to make me throw up LUL 😂 Love you guys tho; good job on the hard work 👍",0
"6795",6795,"@pilferk That's good news. My throat isn't sore; except when I have a coughing fit lol; and I'm not really congeste… https://t.co/MqJAa0UiHz",1
"6797",6797,"@RealSexyCyborg @jolantru We have a name for this in Canada 'cabin fever'; stuck indoors for months is common enoug… https://t.co/34XnI7qahT",0
"6800",6800,"*screaming internally at the thought of Rooney tending to me if I had a fever* https://t.co/osCFEpEmAs",0
"6801",6801,"RT @CasinoCurd: I’m giving $25 to one lucky follower that retweets this within the next 24 hours. 🎉  To enter: - Follow @niko_atomic",0
"6802",6802,"Seriously I feel choked and nauseous reading this. Gross feckless government. To show such a degree in the lack of… https://t.co/5IfYLh2NQp",0
"6803",6803,"ICYMI: Is Scott Moe getting COVID fatigue? (Inside the Marble Palace) https://t.co/MG9Xx2GnFu",0
"6806",6806,"@igorbobic This gives me chills and nausea!",0
"6809",6809,"@IzzyIceThunder I got chills. They are out of the shadows and ready for war.",0
"6810",6810,"when anyone asks me about what i want to do in the future i think i’m just going to start vomiting until they leave me alone",0
"6813",6813,"@VelvetRPresley At the rate 2020 is going that two years will be next week.",0
"6815",6815,"So that jackass @JustinTrudeau spewd verbal diarrhea about how they want democracy to work in an answer to a questi… https://t.co/x4CAyM0qhY",0
"6816",6816,"AND HERE HE IS! Giuliani resurfaces riding a dinosaur; supporting Trumps fever dreams! https://t.co/eiNilBMPXx",0
"6817",6817,"@ThingShoe @KicksDealsCA @adidasCA Man those look good; you should throw up an on-feet shot... Contemplating on copping those 🤔",0
"6818",6818,"@catcher_rice @MonikaPlussy @Yuri_Plussy @natsuki_plussy Grab down throw up tilt up air up air forward air",0
"6819",6819,"@realFFK Your children received vaccines for measles; chickenpox; smallpox; polio; yellow fever; meningitis; tetanu… https://t.co/X9uhoTcyot",0
"6820",6820,"Fuck sakes; now im gonna be up all night coughing; happens everytime I stay up late",0
"6821",6821,"@GareRick One of my brothers-in-law smokes weed on the balcony of his apartment; coughs; then yells; “It’s just weed! Not the ‘RONA!” 😂",0
"6822",6822,"Here is the latest on the Arctic plunge set to occur next week across NE Montana. Wind chills may be as cold as 50… https://t.co/lLgiABkjeJ",0
"6823",6823,"@MandichTony Exactly!  I was recently in the ER and anyone with a cough was given a mask...so I'm thinking it at least helps stop the spreading",0
"6824",6824,"@notcapnamerica If a #Karen does this & the person they coughed on gets sick & dies these women should be charged with first-degree murder.",0
"6825",6825,"drank like 4 coolers lastnight and I still woke up with a headache lmao lameeee",0
"6833",6833,"Man charged after saying he had COVID-19, threatening to cough on police officers - https://t.co/AeNBaIZgJI #Sask #sk #yqr #COVID19 https://t.co/VoLalYS8HT",0
"6835",6835,"finished my half bottle of wine this morning (yeah I know) and now I have a headache.  not gonna lie I deserve it a… https://t.co/58l3zlGxDl",0
"6836",6836,"RT @Cleatus_n: @HopeAldridge @gill_godwin His mommy is listed as the permanent resident at the lake cottage (Google it yourself) so your ta…",0
"6837",6837,"RT @muscatcar: An investigation we've been on for a year led us to one of the most difficult countries for access to information - Banglade…",0
"6840",6840,"Didn't realize that loss of smell was 2x as common as sore throat with COVID... https://t.co/PUFbOL8Win https://t.co/QoHCRv9D48",0
"6844",6844,"Speaking of who else is hot in Buffy; the vampire versions of Willow and Zander🤤 bro Oz too wth",0
"6847",6847,"@TAAdeiye One day for the thief and the day has come. Vomit their food!",0
"6849",6849,"Did you know there are more than 150 different types of headaches; from sinus and exercise to fasting and whiplash?… https://t.co/h6lzLCJNiu",0
"6852",6852,"RT @paula_vassallo: 🛑 Stop the spread of respiratory infections and remember the 3C’s ❗️COVER your nose and mouth when coughing and sneezin…",0
"6853",6853,"RT @AJEtheringtonMT: This storm was *coughs* energetic. Mid-summer 2019 in Northeast Montana. #amateurphotography #StormHour #mtwx #stormch…",0
"6854",6854,"#Moderna + 4 hours: sore am (3/10) M+10: sore arm (6/10); headache (4/10); acetaminophen M+16: sore arm (6/10); hea… https://t.co/8kDyM5bgnr",0
"6855",6855,"Update: I slept until 2 today and have a headache",0
"6859",6859,"@Yell0w_Fever @ZenonKarr I don't get them. If they act like this then they are clearly not mature enough to be on a… https://t.co/01GWWL1m9B",0
"6861",6861,"RT @Hairmelon: .@SaskatoonPolice my plans for the long weekend is to pay a prostitute to vomit on my face. Any tips?",0
"6864",6864,"@disabledsirena I really did not miss the headaches when I was on huge amounts of morphine",0
"6869",6869,"Also check buy this drinks 🍹one is Canada Dry drink , And the other is fever tree drink 🍸. My family drop off this morning. They say it’s good it help for Covid 19 protection immune system etc. Want to share this info with you stay praying 🧎‍♀️ 🧎‍♂️stay ~ Isaiah 49:26 https://t.co/q2lh7Nn8B2",0
"6874",6874,"RT @karinyeske: Premier Moe warns against 'pandemic fatigue;' says increase in cases won't affect reopening plan https://t.co/9xSZh7W3iC ht…",0
"6875",6875,"Not to toot my own horn or anything; but I presented a paper in front of a scholarly hero; and I didn't throw up. https://t.co/5WRAdODu1N",0
"6876",6876,"@KRZYCheech @Kvp531 @PaulMitchell_AB Yes when Nenshi talks about far right organisers who cough and claim bronchitis he specifically means KJJ and his crew. https://t.co/ITMmvRTdHJ",0
"6877",6877,"@larabillionaire Diarrhea will humble you 😂😂😂😂😂",0
"6880",6880,"Civic voter turnout a concern for City Clerk worried over pandemic impact; election fatigue https://t.co/TVYHZIcTCf #YQR",0
"6881",6881,"@MarinaDiamandis @_COUGHS wait this is so cute",0
"6882",6882,"RT @Mick_Coughlan: @mikestockmusic Funny!!! I had a dream I had a shovel and bin bag behind the horses...😂 story of my life!!",0
"6883",6883,"my bf smells like children’s tylenol cough medicine   ...that’s suspicious   ....that’s WEIRD",0
"6885",6885,"@GlamourMagUK You misspelled 'nauseating'.",0
"6889",6889,"@AdrienBegrand @RobinHDunlop @RealTenille @ECraigLothian @PremierScottMoe As he coughs into his hand and opens the door.",0
"6891",6891,"@AndrewBellBNN Should threaten to cough on their microphone.  Haven't they been through enough already? My God!",0
"6893",6893,"@RanaAyyub Ur kinda still vomiting venoms day n night . This is India indeed; this can't be any place of globe . Islamic radicals suck🖕",0
"6896",6896,"RT @BuffDaddyHD: sorry for @CrankGameplays video being late today i had nausea the entire time i was editing it and had to take frequent br…",0
"6897",6897,"@WColi87 Only if you can keep all 39 once the semester ends.",0
"6898",6898,"@flamesfever @depoisdacurva Yup; more of a rant against wet markets & eating meat than anything else",0
"6904",6904,"@darrenmelanson @kKostyy @ScottBilleck He isn't feeling fatigue.He wants every one of those starts and then some.Maurice is publicly taking him off the hook when he mentions fatigue because he's trying to help Helle's psyche going into the break. He knows they all need to be better but particularly him to have a sniff",0
"6906",6906,"Wife: Ok don’t freak out; but there was a kid at Cohens daycare who barfed and had diarrhea.  Me:(instantly thinkin… https://t.co/hz9twRAzaY",1
"6907",6907,"I just earned a new @Flipgrid badge: 500 Response videos! I’m a champion of student voice. #FlipgridFever https://t.co/ocBQ47DCGj",0
"6910",6910,"RT @Ishocampoxoxo: Painful headache AGAIN😢",0
"6913",6913,"@SophiAlero Sigh* I had a headache by the second screen shot. She sounds disturbed; like really disturbed.",0
"6914",6914,"RT @play92regina: The @PriceIsRight is back in production but for the first time in it's 49 year history - no audience: https://t.co/ZNn8Eb…",0
"6917",6917,"RT @ctvsaskatoon: Watch: CTV Saskatoon's Nicole Di Donato reports on the strict conditions imposed at a bail hearing.​  https://t.co/uvblO6…",0
"6919",6919,"RT @jenny_lozinski: @fever_sunset Thanks😋😋",0
"6921",6921,"@fever_sunset tweet me for my birthday!! 😋😋",0
"6924",6924,"if the pandemic fuckin chills; of course",0
"6925",6925,"@KaylaChowShow Not Diarrhea in sixty seconds?",0
"6926",6926,"@infected_soulz @Zerothareal1 @MarcusVidal20 *cough cough* Free healthcare *cough cough*",0
"6927",6927,"RT @TheStarPhoenix: COVID-19: One Year Later — From fear to fatigue and pandemic perceptions https://t.co/HIIU2BxLcV",0
"6936",6936,"@mikmatwe In the tall grass is a real movie ? I thought it was just a fever dream i had",0
"6937",6937,"@calmudge0n @Greyseeker Ah yes.  Chilled acidic vomit and then the stuff you clean it up with.",0
"6939",6939,"@Juleschao @sharagodwinson I rented it from a *cough* video store. I went in pretty unaware since we lived in a tin… https://t.co/376fdOMXmd",0
"6941",6941,"No difference in shoulders now. Still more tired than usual with a slight headache/fogginess; had a late afternoon… https://t.co/uTQhforpJO",0
"6942",6942,"@Tyson2k19 @6ixIn6 @ExecuteOrder622 @gabriel88591467 @ALXJFU @16Dekker @SLAMonline @matthewcoughlin @KembaWalker If… https://t.co/tPQxCkTbjJ",0
"6947",6947,"@garethlpowell I; on the other hand; woke up with a headache then fell asleep and dreamt of having a massive headache. Not restful at all.",0
"6951",6951,"RT @thefunkygirl: @coreyann @donttrythis it won't really help if someone coughs or sneezes in your face - the virus can still go through th…",0
"6953",6953,"@coreyann @donttrythis it won't really help if someone coughs or sneezes in your face - the virus can still go thro… https://t.co/9Z8SipYWst",0
"6954",6954,"For the last few days; I’ve had a mild cough and the worst headache of my life. Probably nothing.. But I’ve heard s… https://t.co/r8giSfN6CO",1
"6955",6955,"@MrsJasmineK I just saw the dr on CTV News recommend not to use ibuprofen out NSAIDS to reduce the fever from COVID… https://t.co/1stwh5WSlp",0
"6959",6959,"@kdsak @DAblo666 The greenhouse is gone from 13th Avenue. https://t.co/hTvQh8W6z1",0
"6960",6960,"@donghunslaysme it feels like a fever dream to even me 🥺💙",0
"6962",6962,"@AGoldmund Please sir; I want some more...",0
"6964",6964,"RT @safeverytime: once again; thank you so much dove. this is unreal. i love you. @notearscamryn i can’t wait for you to see this. one more…",0
"6967",6967,"@OttoBadoski @Alberta_UCP My mom had all the symptoms; fever; cough; sneeze etc. Went for a test. Negative.",0
"6970",6970,"Looking for a song to play on your chills? Listen to @gracenakimera7's new audio #Twalibaddewa it's a powerful song… https://t.co/i6bFZaJoIx",0
"6971",6971,"RT @DrFrancisYoung: @FrPatrickMorrow I'm someone who clandestinely listens to carols throughout the year; so Christmas fatigue isn't likely…",0
"6972",6972,"Keeping your workspace clean can save you headache https://t.co/jMChRJ6Fa7 — via @drivingdotca",0
"6975",6975,"RT @ctvsaskatoon: Juno Awards cancellation still felt in Saskatoon one year later - https://t.co/HQncgDe49W #yxe #sask #sk #junos https://t…",0
"6976",6976,"@LHubich Nope...not possible. If you watch closely Trump is having trouble breathing...",0
"6978",6978,"Absolute chills seeing this. Takes me back to when I was a kid on Saturday nights huddled up in the basement with m… https://t.co/qf7HZNEz6X",0
"6979",6979,"2 days straight of a headache is leaving me feeling awful",1
"6982",6982,"I hate getting sick. I hate getting fevers because I have a higher chance of having a seizure 🤒",1
"6983",6983,"@PankowerPflanze Fever Bitch",0
"6985",6985,"RT @invigilator4: He breached a court order and the police arrested him for it. It's literally their job  I think Jerry needs a tinfoil hat…",0
"6986",6986,"@littleelbee That's sucks. Never could get used to headache pain.",0
"6988",6988,"@JeffreyLuscombe Shopping; writing; spring coughing 😕",0
"6991",6991,"@Garrett_TPD Yeah I’m still sick from that photo in ITW I wanna throw up still no joke 🥴",0
"6995",6995,"@Yell0w_Fever18 @gothpandaotaku Community on Facebook gave me the info yeah I love Jared but sorry love not clicking.",0
"6996",6996,"@bigleaguejew69 im@gonna throw up https://t.co/23aOGvUSRa",0
"6998",6998,"Slight cough so the boss sent me home. Called 811 just to be safe, got the swab. 
I’m off for the remainder of the week from work, right before my planned week holiday. 
I feel great, FYI. No need to worry peeps",1
"7002",7002,"@benlandis As of this moment; I literally can't smell a thing with my stuffed up nose. :P",1
"7003",7003,"@lakefever_ ~*exotic*~",0
"7006",7006,"@gabriellafourie Oooh! I got chills from the trailer!",0
"7009",7009,"@sillytillie2 at least the horse won't vomit in my car",0
"7013",7013,"@lakefever_ I am eating ice cream it’s great",0
"7017",7017,"@JaymeEtc @heymatheson I stopped paying attention to numbers a long time ago but remain cautious. Update fatigue has set in 😔",0
"7018",7018,"@lolacoaster You also need to update your whooping cough vaccine! Tdap; baby.",0
"7019",7019,"@summercannot Good for you. I had AstraZeneca. I had a small reaction the next day. Had the chills and felt like I was getting the flu but the day after I felt better. Had some arm soreness at the injection site for a few days too.",0
"7020",7020,"45 is in his glory - I’m nauseous https://t.co/0aInWICqfk",0
"7026",7026,"@Yell0w_Fever Thank you. I am feeling better. I miss writing and I hope to catch up this weekend.",0
"7028",7028,"RT @raijamccallen: Help I can’t tell if it’s covid or bieber fever #BieberNYE",0
"7030",7030,"@Foley4Real @sskroughriders @CFL Still gives me chills!  I'm curious was this planned or was it just pure reaction… https://t.co/OlqV7tlgQ3",0
"7032",7032,"Hey dudes; really cool trick. Mad props for thinking of that to survive. But also; you’re suuuuuper gross still. No… https://t.co/gXZQkximb6",0
"7034",7034,"RT @AdvisoryNess: @sonush @CanadianReports The most powerful image of the riots last night.  Black men protecting a white police officer ht…",0
"7036",7036,"I know “Kate” who texted me on behalf of the @SaskParty is a robot; but I still feel a little bad for all the horrible things I said to her.",0
"7040",7040,"RT @GazzGirr: Oh look it's me when I fell down the rabbit hole that is this bangtan army life   #TinyTAN  @BTS_twt https://t.co/EmRe8qUCD3",0
"7042",7042,"Playing #MassEffectLegendaryEdition; getting the same chills; from the leaving earth music/cutscene from when playi… https://t.co/O1r0JcQN0r",0
"7045",7045,"RT @ctvsaskatoon: Watch: CTV Prince Albert’s Jayda Taylor reports on the Indigenous partnership that gave a former hotel a new purpose for…",0
"7051",7051,"And purse tylenol and work desk Tylenol and car Tylenol 💊💊 forever headache anyone? https://t.co/Zb4tWh9MlC",0
"7053",7053,"WHAT IS GOING ON OMG WHATS THE COUGH THING",0
"7054",7054,"What did I say? I knew he’d make it excuses about how they have cabin fever etc. Sympathizing with terrorists 🙄😡 https://t.co/UpjL5yJ0kU",0
"7055",7055,"@LosersLose69 Yeah .. I still have a sore throat and loss of sense of taste ... a little weak. If I had asthma or was a smoker this would have thunderf***ed me. 

My wife got the lite version",1
"7056",7056,"Been happening 11hrs, in ER 6 hrs - lower left quadrant abdomen &amp; back pain 9-10, vomiting, really want to urinate &amp; BM (like constantly) but can’t, no fever. Let me know what you think Twitter 🧐",1
"7058",7058,"almost 4 months clean and sober; starting to think this sober life is too hard tho. Its sooo boring; trying to stay… https://t.co/i8oKxF9AVG",0
"7061",7061,"RT @ClinNegSharon: Third of UK doctors report burnout and compassion fatigue https://t.co/lDHd97xlM2",0
"7062",7062,"If you want to subtly annoy someone just say god bless you when they cough.",0
"7066",7066,"I've come to realize that I truly despise to the term 'if you *actually* do your research'. It's nauseatingly condescending.",0
"7073",7073,"@ANGELSFEVERS “some people have real problems” literally k¥$",0
"7074",7074,"Tired af but too nauseous to sleep",0
"7080",7080,"#IKnewIHadCabinFeverWhen my sister started looking good",0
"7083",7083,"Opened the window for some fresh fall air only to hear the neighbour coughing up a lung. 🙄🙄 Awas go back inside.",1
"7087",7087,"*cough* mine https://t.co/mpTmZVu0MP",0
"7092",7092,"I love hard drives so much; it's so cozy and headache-free. https://t.co/RSW0DzsixN",0
"7093",7093,"RT @spiritpencil: Me because Inuyasha owns my ass https://t.co/hI2T930GGp",0
"7099",7099,"Poor OnLive. You stumbled out of the gate; pelted with vegetables and vomited from embarrassment so that Playstatio… https://t.co/zUZs02M9eb",0
"7102",7102,"RT @HabitsBingely: I dropped out Psychedelics were my teachers I cough a cloud My brain cells melt Into the ether Now I am cottonmouth Wind…",0
"7103",7103,"@Yell0w_Fever Me too. It just happened last night. I was trying to edit some photos and the program wasn't respondi… https://t.co/kitS9HgBeI",0
"7109",7109,"no last boss ever gonna hit me as hard as this one; pure chills. He needs not a title but a single name - Ganon https://t.co/zma0zUwfhp",0
"7111",7111,"ME/CFS FATIGUE:
🤪10 minute phone call
👇 Eating
😭 Showering
🛌 After leaving the house
🤪 Reading for 15 minutes
🤫 After 30 min watching a movie
🥱 8pm every night
😴 3 naps a day regardless
#ChronicPain #migraine #MECFS #OccipitalNeuralgia #Faitgue https://t.co/rv1H7Jm292",0
"7112",7112,"RT @elenaz__: @isnotfeverish 🥺🥺🥺thanks bb💕💕❤️",0
"7113",7113,"RT @ctvsaskatoon: WATCH: A Prince Albert bishop says the government isn’t showing how deadly COVID-19 can be.​  https://t.co/orkzxGfflk",0
"7117",7117,"Mine was a buzzing noise in my ear; like it felt plugged followed by sore eyes; then fever. Went downhill quickly f… https://t.co/AdUmuV9x1A",0
"7118",7118,"@LauraFMcConnell Not certain how 'fever and loss of law suit' fit together. Somewhere between 2 and 3 of the 90 'reasons' seem valid.",0
"7119",7119,"RT @WillowTaylorFay: ME/CFS FATIGUE: 🤪10 minute phone call 👇 Eating 😭 Showering 🛌 After leaving the house 🤪 Reading for 15 minutes 🤫 After…",0
"7120",7120,"@kylegaddo *coughs in canadian*",0
"7122",7122,"RT @kelsochabot: Our neighbours are open-mouth coughing while loading golf clubs into their car and I’m just; so; so happy for their fun su…",0
"7125",7125,"@ScallopFever Id pay ten bucks to rent it",0
"7127",7127,"What’s good for spreadsheet headache? Tell me it’s tequila. https://t.co/uMxcKvHPCw",0
"7129",7129,"After 6 months I finally tried working from bed and now my whole body aches how do people do this?",0
"7130",7130,"RT @ParkAmbulance: Take it slow in the snow when driving! If you develop any increased shortness of breath or chest pain while shoveling ST…",0
"7131",7131,"Watching the snow fall and blow. Hoping this pressure headache ends soon.",0
"7132",7132,"@BadCovid19 I'm in a funk. Hint hint. Ahem. Cough Cough",0
"7133",7133,"@TMZ Get out Kim he ain’t worth the headache luv xx",0
"7134",7134,"@creeation72 I’m so glad this is finally being taken seriously! Chronic nausea is awful.",0
"7138",7138,"That would be nice; but as a dog returneth to its vomit ... https://t.co/YLptEz3mvn",0
"7139",7139,"Honestly three people have cut the line because the flow is not clear. Someone has no mask on and is coughing.  Peo… https://t.co/o0pYUO8DMt",0
"7144",7144,"@monika_dryburgh It’s helped me immensely! More so with cognitive function than with physical fatigue; but I also c… https://t.co/Rm720XIJrU",0
"7146",7146,"@AaronGenest @luiciolfi Make sure to get either good slippers or a anti fatigue mat to stand on. It makes a big dif… https://t.co/7rfjd23WYO",0
"7148",7148,"RT @joanne_paulson: What does bookly success look like to you; #WritingCommunity?",0
"7150",7150,"@Scottcrates Make sure you shake tRumps hand; cough in his face or sneeze; anything. Just make sure you expose him 😂😂🌊",0
"7151",7151,"@nickfaye @markjohnstonfm @Arbys *cough cough* and one Saskatoon resident",0
"7153",7153,"How to survive -50 C windchills: fleece lined leggings. https://t.co/H1h3zWVXlv",0
"7155",7155,"@Yell0w_Fever I get that Dabb and his writers no longer care about telling and good story or creating a worthy endi… https://t.co/Ck46VI9Uul",0
"7157",7157,"@merlemassie I’ve got the chills; but they’re not multiplying.",0
"7158",7158,"Hands up if anyone in your house has a fever/chills. 🙋‍♀️🙋‍♀️It's weird how what we would normally brush off; carri… https://t.co/3x1ZtxhaQA",0
"7160",7160,"@Yell0w_Fever I'm so sorry you had to suffer through that. https://t.co/Gj8bE49pvF",0
"7161",7161,"@Yell0w_Fever I feel you. All hopes of SPN getting a proper ending is fading after each episode.",0
"7162",7162,"Gaming with my bro's Bday stream part 2 https://t.co/Tahm7B6vqc @SGH_RTs @Twitch_RT @BET__Gaming @ThatsChills @twitchpromoters",0
"7165",7165,"RT @ctvregina: Regina's city planning commission approves permanent closure of street at RPS headquarters https://t.co/2KuPrM104t #yqr #sk…",0
"7166",7166,"@TCraw_ This a whole headache the next day.",0
"7167",7167,"@ihmurria Now I'm wondering if maybe I might be coming down with the same thing - I've been all feverish and headac… https://t.co/D2teUr80Mf",1
"7169",7169,"@melissaFTW OMG I have chills reading about all you bad ass midlifers! I’m in Uni too at age 43. Solidarity!",0
"7170",7170,"RT @GlobalSaskatoon: Teachers cheered as about 185 Tommy Douglas Collegiate students received their diplomas Thursday. https://t.co/LUcf23g…",0
"7172",7172,"Our paramedics continue to see an increasing number of ""sick"" persons and ""shortness of breath"" incidents. Do your part - wear a mask, wash your hands, keep your social contacts small! Don't be alarmed when our paramedics appear in all this protective gear! Keeping everyone safe! https://t.co/AxNjfwAX5d",0
"7174",7174,"RT @greateranglia: ❗📢 REMINDER:  All phone lines are extremely busy.   We will always help and point you in the right direction of who is b…",0
"7175",7175,"RT @greateranglia: 📢❗🎟 TICKET REFUNDS:  - Advance tickets purchased prior to 07:00 Monday 23 March 2020 can now be refunded in full with no…",0
"7177",7177,"RT @greateranglia: ❗ Refunds might take up to 28 days to process.",0
"7178",7178,"A serious relationship could be reaching a fever pitch and you... More for Cancer https://t.co/PZapOs714A",0
"7179",7179,"RT @greateranglia: ❗ Refunding/Changing E & M-tickets  - We’re working on updates to the website to allow you to login to your account so t…",0
"7182",7182,"RT @greateranglia: ❗ For Online Smart seasons refunds – call 0345 600 7245 (option 9).   For smart tickets purchased a ticket office; pleas…",0
"7184",7184,"Day 3 of holidays is not starting out well. Been waking up every 4 hours with a splitting headache. 😭",0
"7185",7185,"@TheJennJam Yeeeep. We had to go to the grocery store the other day and I'm just trying my best not to cough cuz my… https://t.co/Om01B4SRln",0
"7186",7186,"A serious relationship could be reaching a fever pitch and you... More for Cancer https://t.co/rE51tfNPcC",0
"7187",7187,"@Venuslfy The fact that anyone even understood what this was trying to say; blows my mind. I thought someone vomited words and hit send.",0
"7188",7188,"Just coughed  This is it",0
"7189",7189,"2/2 Make the safe choice for everyone – don’t drive if you have been drinking; using drugs or are fatigued. You cou… https://t.co/NjVPqtk6EI",0
"7190",7190,"Rent-a-girlfriend   Fucccc. I facepalmed so many times in the first 5 episodes I got a headache",0
"7191",7191,"@Ok2Panic @GlenGrambo @AdabelDickson @MargueriteTurl2 @Loberd3 @Potato86887291 Forget “Feed a cold; starve a fever.… https://t.co/9cERCqbMYk",0
"7192",7192,"@TheRealKeean This makes me angry; nauseous....",0
"7194",7194,"@FeverRell @AbyssOutlaws Welcome my g",0
"7196",7196,"@cenobyte That would be Pandemic Fatigue.",0
